mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.031173038482666015,0.00915774045478208,0.010511112213134766,0.007415394949760523,0.01,liblinear,"{'C': 0.01, 'solver': 'liblinear'}",0.94625,0.93875,0.94625,0.9425,0.9425,0.9432499999999999,0.0028062430400804797,8
0.029297637939453124,0.022170617776634677,0.011513090133666993,0.011626282287179983,0.01,lbfgs,"{'C': 0.01, 'solver': 'lbfgs'}",0.94625,0.93875,0.945,0.94375,0.94375,0.9435,0.0025495097567964035,7
0.018729209899902344,0.0017858652149709737,0.005549001693725586,0.0011036203796416812,0.1,liblinear,"{'C': 0.1, 'solver': 'liblinear'}",0.96,0.9525,0.955,0.95,0.94625,0.95275,0.004636809247747832,5
0.032356786727905276,0.016047067649157642,0.006630134582519531,0.0023014086871200766,0.1,lbfgs,"{'C': 0.1, 'solver': 'lbfgs'}",0.96,0.95375,0.955,0.94875,0.94625,0.95275,0.004834769901453408,5
0.02801990509033203,0.0046588168427049,0.006737995147705078,0.004224914012528567,1.0,liblinear,"{'C': 1, 'solver': 'liblinear'}",0.965,0.95625,0.96,0.95,0.94875,0.9559999999999998,0.00609302880347697,3
0.028356027603149415,0.009055611604536735,0.009739398956298828,0.010479480816526174,1.0,lbfgs,"{'C': 1, 'solver': 'lbfgs'}",0.965,0.95625,0.96,0.95,0.9475,0.9557499999999999,0.00640312423743284,4
0.01997089385986328,0.0018781670618989862,0.004718685150146484,0.0010344498716014477,10.0,liblinear,"{'C': 10, 'solver': 'liblinear'}",0.96625,0.95625,0.96,0.9525,0.9475,0.9565000000000001,0.0063933559262722185,1
0.016886520385742187,0.0014891748843130048,0.0038245201110839845,0.00042758848103592703,10.0,lbfgs,"{'C': 10, 'solver': 'lbfgs'}",0.96625,0.95625,0.96,0.9525,0.9475,0.9565000000000001,0.0063933559262722185,1
